doc,no,char,ids,evi,ref,comment
1739,2-1,𬒀,,"this@學生注冊表, 父親姓名, *~*",MAC00003,evidence
1739,3-1,𪻳,,"this@學生注冊表, 母親姓名, **~",MAC00006,evidence
1739,4-1,𪻵,,"this@學生注冊表, 母親姓名, **~",MAC00008,evidence
1739,5-1,𬋋,,"this@學生注冊表, 母親姓名, *~*",MAC00009,evidence
1739,6-1,𬞆,,"this@學生注冊表, 母親姓名, *~*",MAC00013,evidence
1739,7-1,𫁢,,"this@學生注冊表, 中文姓名, *~*, chu",MAC00014,evidence
1739,8-1,𫏜,,"this@學生注冊表, 中文姓名, *~*, kuok",MAC00018,evidence
1739,9-1,𬎆,,"this@學生注冊表, 中文姓名, **~, ieng",MAC00028,evidence
1739,10-1,𬌲,,"this@學生注冊表, 父親姓名, **~",MAC00046,evidence
1739,11-1,𬄾,,"this@學生注冊表, 中文姓名, **~, san",MAC00047,evidence
1739,12-1,𬍳,,"this@學生注冊表, 母親姓名, *~*",MAC00048,evidence
1739,13-1,𬔻,,"this@學生注冊表, 中文姓名, *~*, sio",MAC00049,evidence
1739,14-1,𬁆,,"this@學生注冊表, 母親姓名, **~",MAC00050,evidence
1739,15-1,𬐨,,"this@學生注冊表, 父親姓名, **~",MAC00051,evidence
1739,16-1,𫰋,,"this@學生注冊表, 母親姓名, **~",MAC00052,evidence
1739,17-1,𬳧,,"this@學生注冊表, 母親姓名, **~",MAC00053,evidence
1739,18-1,𫯜,,"this@學生注冊表, 父親姓名, **~",MAC00055,evidence
1739,19-1,𫦪,,"this@學生注冊表, 中文姓名, **~, hsun",MAC00056,evidence
1739,20-1,𬀲,,"this@學生注冊表, 父親姓名, *~*",MAC00057,evidence
1739,21-1,𬉷,,"this@學生注冊表, 母親姓名, *~*",MAC00059,evidence
1739,22-1,𬯋,,"this@學生注冊表, 父親姓名, *~*",MAC00060,evidence
1739,23-1,𬊕,,"this@學生注冊表, 父親姓名, *~*",MAC00061,evidence
1739,24-1,𬁝,,"this@學生注冊表, 母親姓名, **~",MAC00062,evidence
1739,25-1,𬗋,,"this@學生注冊表, 父親姓名, *~*",MAC00063,evidence
1739,26-1,𬓥,,"this@學生注冊表, 父親姓名, *~",MAC00064,evidence
1739,27-1,𫨨,,"this@學生注冊表, 父親姓名, **~",MAC00065,evidence
1739,28-1,𬠸,,"this@學生注冊表, 父親姓名, **~",MAC00066,evidence
1739,29-1,𬈹,,"this@學生注冊表, 父親姓名, *~*",MAC00067,evidence
1739,30-1,𫤪,,"this@學生注冊表, 中文姓名, **~, fong",MAC00070,evidence
1739,31-1,𬇣,,"this@學生注冊表, 父親姓名, *~*",MAC00071,evidence
1739,32-1,~㛇,⿸㚧𡈽,"this@學生注冊表, 母親姓名, **~",MAC00081,evidence
1739,33-1,~𠲘,⿱𦍌口,"this@學生注冊表, 父親姓名, *~*",MAC00082,evidence
1739,34-1,~𡩴,,"this@學生注冊表, 父親姓名, **~",MAC00083,evidence
1739,35-1,𪦪,,"this@學生注冊表, 母親姓名, **~",MAC00084,evidence
1739,37-1,𫣲,,"this@標準中葡譯音手册 (附中文電碼表), 8094 loi",MAC00076,evidence
1739,37-2,𡊐,,"this@標準中葡譯音手册 (附中文電碼表), 9742, ao",MAC00077,evidence
1739,37-3,~啗,,"this@標準中葡譯音手册 (附中文電碼表), 0798, tam",MAC00115,evidence
1739,38-1,𬏺,,"this@標準中葡譯音手册 (附中文電碼表), 4048, kuan",MAC00116,evidence
1739,38-2,𢊈,,"this@標準中葡譯音手册 (附中文電碼表), 8353, sao",MAC00117,evidence
1739,38-3,𬍂,,"this@標準中葡譯音手册 (附中文電碼表), 8742, hou",MAC00118,evidence
1739,39-1,𬱃,,"this@標準中葡譯音手册 (附中文電碼表), 9473, ngak",MAC00119,evidence
1739,39-2,~杞,⿰木已,"this@標準中葡譯音手册 (附中文電碼表), 2630, kei",MAC00120,evidence
1751,1-1,𪴒,,,TE-353F,T glyph update
1751,1-2,𪽜,,,TD-5127,T glyph update
1751,1-3,𫀛,,,TD-4223,T glyph update
1751,1-4,𫂉,,,TD-5278,T glyph update
1751,1-5,𫂏,,,TD-6162,T glyph update
1752,2-1,𠆁,,,GKX-0089.21,G glyph update
1752,2-2,𢃑,,,UCS2003,G glyph update
1752,2-3,𢏲,,,UCS2003,G glyph update
1752,2-4,𢐽,,,GHZ-80018.06,G glyph update
1752,2-5,𣁙,,,GHZ-32170.17,G glyph update
1752,2-6,𤰣,,,GKX-0760.03,G glyph update
1752,2-7,𥅳,,,GHZ-42484.07,G glyph update
1752,2-8,𥔂,,,GKX-0833.07,G glyph update
1752,2-9,𥠅,,,GKX-0856.12,G glyph update
1752,3-10,𥦺,,,GKX-0867.03,G glyph update
1752,3-11,𥮟,,,GKX-0889.11,G glyph update
1752,3-12,𥼗,,,GKX-0912.40,G glyph update
1752,3-13,𦇅,,,GKX-0943.07,G glyph update
1752,3-14,𦈅,,,GKX-0944.23,G glyph update
1752,3-15,𦊣,,,GHZ-42916.02,G glyph update
1752,3-16,𦝝,,,GKX-0988.02,G glyph update
1752,3-17,𦡖,,,GHZ-32115.13,G glyph update
1752,3-18,𦽣,,,GKX-1062.29,G glyph update
1752,3-19,𧆆,,,GHZ-53339.04,G glyph update
1752,4-20,𧔠,,,GKX-1102.20,G glyph update
1752,4-21,𧕱,,,GKX-1104.22,G glyph update
1752,4-22,𧙤,,,GKX-1116.14,G glyph update
1752,4-23,𧛓,,,GKX-1120.29,G glyph update
1752,4-24,𧠘,,,GHZ-63665.12,G glyph update
1752,4-25,𧡿,,,GHZ-80038.19,G glyph update
1752,4-26,𧤩,,,GHZ-63931.12,G glyph update
1752,4-27,𧥯,,,GKX-1149.07,G glyph update
1752,4-28,𨌂,,,GKX-1243.16,G glyph update
1752,4-29,𨘇,,,GKX-1267.06,G glyph update
1752,5-30,𨭙,,,GKX-1323.28,G glyph update
1752,5-31,𨼭,,,GKX-1360.41,G glyph update
1752,5-32,𩃁,,,GKX-1375.03,G glyph update
1752,5-33,𩒜,,,GKX-1404.05,G glyph update
1752,5-34,𩧤,,,GHZ-74585.09,G glyph update
1752,5-35,𩮚,,,GKX-1455.47,G glyph update
1752,5-36,𩴆,,,GKX-1462.52,G glyph update
1752,6-1,𥺛,,,GKX-0910.02,no change
1752,6-2,𥾨,,,GKX-0919.06,no change
1752,7-3,𥼟,,,GKX-0913.12,no change
1752,7-4,𥓓,,,GKX-0832.11,no change
1752,8-5,𥟑,,,GKX-0855.03,no change
1752,8-6,𥐬,,,GKX-0828.23,no change
1752,9-7,𦕿,,,GKX-0967.35,no change
1752,9-8,𦁗,,,GKX-0929.21,no change
1752,10-9,𦝠,,,GKX-0988.14,no change
1752,10-10,𧕠,,,GKX-1104.08,no change
1752,11-11,𧥷,,,GKX-1151.15,no change
1753,1-1,㺬,⿰𤣩凡(巩),GKX@《康熙字典》，第 727 页。,GKX-0727.11,G glyph update
1753,1-2,𤣲,⿰𤣩卂,GHZ@《汉语大字典》（第一版），第 1102 页。,GHZ-21102.14,no change
1754,1-1,𦚝,,,,unification
1754,2-1,𦚫,,,,unification
1754,2-2,𦜒,,,,unification
1754,2-3,𠢅,,,,unification
1755,1-1,𠏝,,,K4-000D,K glyph update
1755,1-2,𥕦,,,K4-008A,K glyph update
